court_id,resource_uri,pacer_court_id,pacer_has_rss_feed,pacer_rss_entry_types,date_last_pacer_contact,fjc_court_id,date_modified,in_use,has_opinion_scraper,has_oral_argument_scraper,position,citation_string,short_name,full_name,url,start_date,end_date,jurisdiction,parent_court,appeals_to
ohctapp4,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4/,,,,,,2023-10-02T18:23:58.963217-07:00,False,False,False,366.996027,,"Court of Appeals of Ohio, Fourth District","Court of Appeals of Ohio, Fourth District",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohioctapp/,[]
ohctapp4adams,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4adams/,,,,,,2023-10-02T18:23:58.983283-07:00,False,False,False,366.996028,Oh. Ct. App. 4th Dist. Adams,"Court of Appeals of Ohio, Fourth District, Adams County","Court of Appeals of Ohio, Fourth District, Adams County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4/,[]
ohctapp4athens,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4athens/,,,,,,2023-10-02T18:23:58.999595-07:00,False,False,False,366.996029,Oh. Ct. App. 4th Dist. Athens,"Court of Appeals of Ohio, Fourth District, Athens County","Court of Appeals of Ohio, Fourth District, Athens County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4/,[]
ohctapp4gallia,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4gallia/,,,,,,2023-10-02T18:23:59.011208-07:00,False,False,False,366.99603,Oh. Ct. App. 4th Dist. Gallia,"Court of Appeals of Ohio, Fourth District, Gallia County","Court of Appeals of Ohio, Fourth District, Gallia County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4/,[]
ohctapp4highlan,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4highlan/,,,,,,2023-10-02T18:23:59.020795-07:00,False,False,False,366.996031,Oh. Ct. App. 4th Dist. Highland,"Court of Appeals of Ohio, Fourth District, Highland County","Court of Appeals of Ohio, Fourth District, Highland County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4/,[]
ohctapp4hocking,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4hocking/,,,,,,2023-10-02T18:23:59.027439-07:00,False,False,False,366.996032,Oh. Ct. App. 4th Dist. Hocking,"Court of Appeals of Ohio, Fourth District, Hocking County","Court of Appeals of Ohio, Fourth District, Hocking County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4/,[]
ohctapp4jackson,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4jackson/,,,,,,2023-10-02T18:23:59.050790-07:00,False,False,False,366.996033,Oh. Ct. App. 4th Dist. Jackson,"Court of Appeals of Ohio, Fourth District, Jackson County","Court of Appeals of Ohio, Fourth District, Jackson County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4/,[]
ohctapp4lawrenc,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4lawrenc/,,,,,,2023-10-02T18:23:59.064981-07:00,False,False,False,366.996034,Oh. Ct. App. 4th Dist. Lawrence,"Court of Appeals of Ohio, Fourth District, Lawrence County","Court of Appeals of Ohio, Fourth District, Lawrence County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4/,[]
ohctapp4meigs,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4meigs/,,,,,,2023-10-02T18:23:59.072375-07:00,False,False,False,366.996035,Oh. Ct. App. 4th Dist. Meigs,"Court of Appeals of Ohio, Fourth District, Meigs County","Court of Appeals of Ohio, Fourth District, Meigs County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4/,[]
ohctapp4pickawa,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4pickawa/,,,,,,2023-10-02T18:23:59.091698-07:00,False,False,False,366.996036,Oh. Ct. App. 4th Dist. Pickaway,"Court of Appeals of Ohio, Fourth District, Pickaway County","Court of Appeals of Ohio, Fourth District, Pickaway County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4/,[]
ohctapp4pike,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4pike/,,,,,,2023-10-02T18:23:59.111512-07:00,False,False,False,366.996037,Oh. Ct. App. 4th Dist. Pike,"Court of Appeals of Ohio, Fourth District, Pike County","Court of Appeals of Ohio, Fourth District, Pike County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4/,[]
ohctapp4ross,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4ross/,,,,,,2023-10-02T18:23:59.132675-07:00,False,False,False,366.996038,Oh. Ct. App. 4th Dist. Ross,"Court of Appeals of Ohio, Fourth District, Ross County","Court of Appeals of Ohio, Fourth District, Ross County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4/,[]
ohctapp4scioto,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4scioto/,,,,,,2023-10-02T18:23:59.155317-07:00,False,False,False,366.996039,Oh. Ct. App. 4th Dist. Scioto,"Court of Appeals of Ohio, Fourth District, Scioto County","Court of Appeals of Ohio, Fourth District, Scioto County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4/,[]
ohctapp4vinton,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4vinton/,,,,,,2023-10-02T18:23:59.169116-07:00,False,False,False,366.99604,Oh. Ct. App. 4th Dist. Vinton,"Court of Appeals of Ohio, Fourth District, Vinton County","Court of Appeals of Ohio, Fourth District, Vinton County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4/,[]
ohctapp4washing,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4washing/,,,,,,2023-10-02T18:23:59.180963-07:00,False,False,False,366.996041,Oh. Ct. App. 4th Dist. Washington,"Court of Appeals of Ohio, Fourth District, Washington County","Court of Appeals of Ohio, Fourth District, Washington County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp4/,[]
ohctapp5,https://www.courtlistener.com/api/rest/v4/courts/ohctapp5/,,,,,,2023-10-02T18:23:58.972659-07:00,False,False,False,366.996042,,"Court of Appeals of Ohio, Fifth District","Court of Appeals of Ohio, Fifth District",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohioctapp/,[]
ohctapp5ashland,https://www.courtlistener.com/api/rest/v4/courts/ohctapp5ashland/,,,,,,2023-10-02T18:23:59.195282-07:00,False,False,False,366.996043,Oh. Ct. App. 5th Dist. Ashland,"Court of Appeals of Ohio, Fifth District, Ashland County","Court of Appeals of Ohio, Fifth District, Ashland County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp5/,[]
ohctapp5coshoct,https://www.courtlistener.com/api/rest/v4/courts/ohctapp5coshoct/,,,,,,2023-10-02T18:23:59.211249-07:00,False,False,False,366.996044,Oh. Ct. App. 5th Dist. Coshocton,"Court of Appeals of Ohio, Fifth District, Coshocton County","Court of Appeals of Ohio, Fifth District, Coshocton County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp5/,[]
